,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
1151,12006505,0.64,False,De Pijp - Rivierenbuurt,52.34,4.9,Entire home/apt,2,1,1,11,127.0,3,60,True,0,0,4.85,False,63.5,381.0,0.07,0.13,0.16,4.99,0.0,635.0
1152,12039992,0.26,False,Zuid,52.34,4.88,Entire home/apt,4,2,3,8,350.0,4,1125,True,0,0,4.84,False,87.5,1400.0,0.14,0.18,0.26,4.99,0.03561643835616438,1750.0
1153,12051114,0.76,False,Centrum-West,52.38,4.88,Entire home/apt,4,2,2,16,420.0,3,28,True,3,0,4.01,True,105.0,1260.0,0.07,0.2,0.29,10.99,0.019178082191780823,2100.0
1154,12058561,0.54,False,Zuid,52.34,4.883,Private room,1,1,1,8,86.0,1,1125,True,9,2,4.7,False,86.0,86.0,0.04,0.1,0.15,4.99,,
1155,12059101,0.72,True,De Pijp - Rivierenbuurt,52.34,4.89,Private room,4,1,4,6,92.0,4,1125,True,5,4,4.83,False,23.0,368.0,0.06,0.1,0.16,4.99,0.7945205479452054,410.26027397260276
1156,12065591,0.7,False,Centrum-West,52.38,4.88,Private room,2,1,2,10,149.0,4,190,True,1,2,4.81,True,74.5,596.0,0.07,0.18,0.19,4.99,0.6109589041095891,745.0
1157,12079751,0.57,False,Westerpark,52.38,4.867,Entire home/apt,4,2,1,6,189.0,2,90,True,0,0,4.55,False,47.25,378.0,0.08,0.25,0.19,4.99,,
1158,12088607,0.0,False,Oud-Oost,52.34,4.934,Entire home/apt,4,2,2,10,226.0,3,25,True,0,0,4.0,False,56.5,678.0,0.07,0.26,0.25,4.99,0.0,1128.4931506849316
1159,12106511,1.0,False,Watergraafsmeer,52.34,4.918,Entire home/apt,2,1,1,4,69.0,2,1125,True,0,0,4.44,True,34.5,138.0,0.05,0.11,0.14,2.99,,
1160,12139525,0.73,False,Zuid,52.34,4.86,Entire home/apt,6,3,6,17,450.0,3,11,True,0,0,4.43,True,75.0,1350.0,0.09,0.29,0.25,10.99,0.052054794520547946,2262.123287671233
1161,12141525,0.79,False,Noord-West,52.44,4.89,Private room,2,1,1,3,85.0,2,10,True,6,2,4.85,False,42.5,170.0,0.06,0.11,0.14,4.99,,
1162,12145656,0.61,False,Centrum-Oost,52.38,4.926,Private room,2,1,2,1,75.0,2,30,True,2,3,4.87,False,37.5,150.0,0.05,0.1,0.15,4.99,,
1163,12164521,0.41,False,Zuid,52.34,4.86,Entire home/apt,2,1,1,13,175.0,3,14,True,0,0,4.81,False,87.5,525.0,0.09,0.12,0.23,4.99,0.1917808219178082,872.2054794520548
1164,12196335,0.5,False,Bos en Lommer,52.38,4.855,Entire home/apt,2,1,1,7,120.0,1,1125,True,0,0,4.9,False,60.0,120.0,0.08,0.21,0.16,4.99,0.1095890410958904,640.4383561643835
1165,12205686,1.0,True,Oud-Oost,52.38,4.926,Entire home/apt,2,1,1,3,93.0,2,21,True,0,2,4.86,False,46.5,186.0,0.07,0.11,0.14,4.99,,
1166,12215990,0.25,False,Zuid,52.34,4.848,Entire home/apt,2,1,1,5,145.0,3,30,True,0,0,5.0,True,72.5,435.0,0.05,0.14,0.2,4.99,0.0,725.0
1167,12216213,0.56,False,Centrum-West,52.38,4.887,Private room,2,1,1,1,100.0,3,1125,True,6,5,4.9,True,50.0,300.0,0.07,0.14,0.17,4.99,0.7123287671232876,500.0
1168,12221842,0.0,False,De Pijp - Rivierenbuurt,52.34,4.902,Entire home/apt,2,1,1,3,138.0,3,150,True,0,1,4.85,False,69.0,414.0,0.06,0.17,0.18,4.99,0.021917808219178082,677.4657534246576
